Node,TransactionRate,Transaction60,Before,ScalabilityGradient,TransactionRateNormalised,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubEpoch30,SubEpoch31,SubEpoch32,SubEpoch33,SubEpoch34,SubEpoch35,SubEpoch36,SubEpoch37
5,550000,2292,0,0,1,PBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.525416,677.260149,694.654315,722.518757,730.864817,753.559025,776.165715,806.794404
10,300000,1250,0.8336,0.83,0.545375218150087,PBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.157689,633.858512,658.113519,695.534212,733.346925,754.855674,788.678038,820.860396
15,180000,750,0.666666666666667,0.66,0.327225130890052,PBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.280629,638.62452,661.244197,680.311459,705.02159,738.035389,755.604469,767.182715
20,86000,358,1.09497206703911,1.09,0.156195462478185,PBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.114346,618.424692,640.723103,667.168705,690.139381,721.812855,732.923785,766.693912
25,56000,233,0.536480686695279,0.53,0.101657940663176,PBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.393944,711.748162,732.894304,743.622229,768.662287,788.951449,815.468083,843.199708
5,650000,2708,0,0,1,IBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.338695,469.318595,490.031376,494.00146,505.150565,512.316581,528.227313,535.380603
10,470000,1958,0.383043922369765,0.38,0.723042836041359,IBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.74895,665.313743,679.924391,704.381312,713.016797,724.923236,738.629678,741.599252
15,350000,1458,0.342935528120713,0.34,0.538404726735598,IBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.140649,637.575382,670.285629,681.770721,716.795791,724.555822,756.38445,784.114995
20,260000,1083,0.346260387811634,0.34,0.399926144756278,IBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.186618,639.717569,653.727677,681.573036,704.529441,723.663731,738.610153,764.463754
25,180000,750,0.444,0.44,0.276957163958641,IBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.536067,480.890077,489.394372,505.976596,509.557171,537.324931,557.024239,572.949898
5,700000,2917,0,0,1,QBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,600000,2500,0.14295509084676,0.14,0.85704490915324,QBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,500000,2083,0.1668,0.16,0.714089818306479,QBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,300000,1250,0.399903984637542,0.39,0.42852245457662,QBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,250000,1042,0.1664,0.16,0.35721631813507,QBFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,900000,3750,0,0,1,Clique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,820000,3417,0.097453906935909,0.09,0.9112,Clique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,750000,3125,0.09344,0.09,0.833333333333333,Clique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,600000,2500,0.25,0.25,0.666666666666667,Clique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,550000,2292,0.090750436300175,0.09,0.6112,Clique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,750000,3125,0,0,0.961538461538462,Utilitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,780000,3250,0.038461538461539,0.03,1,Utilitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,695000,2896,0.122237569060773,0.12,0.891076923076923,Utilitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,508000,2117,0.367973547472839,0.36,0.651384615384615,Utilitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,450000,1875,0.129066666666667,0.12,0.576923076923077,Utilitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,799920,3333,0,0,0.988727380599229,UtilitarianImplicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,768000,3200,0.0415625,0.04,1,UtilitarianImplicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,730000,3042,0.051939513477975,0.05,0.889943636902996,UtilitarianImplicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,589000,2454,0.23960880195599,0.23,0.667457727677247,UtilitarianImplicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,535000,2229,0.100942126514132,0.1,0.593295757935331,UtilitarianImplicit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
