Node,TransactionRate,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,SubEpoch30,SubEpoch31,SubEpoch32,SubEpoch33,SubEpoch34,SubEpoch35,SubEpoch36,SubEpoch37
5,700000,Simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.525416,677.260149,694.654315,722.518757,730.864817,753.559025,776.165715,806.794404
10,600000,Simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.157689,633.858512,658.113519,695.534212,733.346925,754.855674,788.678038,820.860396
15,500000,Simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.280629,638.62452,661.244197,680.311459,705.02159,738.035389,755.604469,767.182715
20,300000,Simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.114346,618.424692,640.723103,667.168705,690.139381,721.812855,732.923785,766.693912
25,250000,Simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.393944,711.748162,732.894304,743.622229,768.662287,788.951449,815.468083,843.199708
5,110400,BesuQBFT,460,,,,,,,,,,,,,,,,,,,,,,,,,,,465.338695,469.318595,490.031376,494.00146,505.150565,512.316581,528.227313,535.380603
10,108000,BesuQBFT,450,,,,,,,,,,,,,,,,,,,,,,,,,,,641.74895,665.313743,679.924391,704.381312,713.016797,724.923236,738.629678,741.599252
15,96000,BesuQBFT,400,,,,,,,,,,,,,,,,,,,,,,,,,,,600.140649,637.575382,670.285629,681.770721,716.795791,724.555822,756.38445,784.114995
20,62400,BesuQBFT,260,,,,,,,,,,,,,,,,,,,,,,,,,,,612.186618,639.717569,653.727677,681.573036,704.529441,723.663731,738.610153,764.463754
25,60000,BesuQBFT,250,,,,,,,,,,,,,,,,,,,,,,,,,,,466.536067,480.890077,489.394372,505.976596,509.557171,537.324931,557.024239,572.949898
5,1281.73913043478,RelativeAbsoluteDifference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1093.33333333333,RelativeAbsoluteDifference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1010,RelativeAbsoluteDifference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,913.846153846154,RelativeAbsoluteDifference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,760,RelativeAbsoluteDifference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
